userid,tweet
1343182617177309184,I was diagnosed with depression and a girl i was pursuing rejected me around the same time GAP was released. That’s when I found u (and Freen). You saved me at my lowest and keep me going. I will forever be grateful. 🥹🫶🏻 #YouAreOurSafePlace  #Beckysangels #BeckyIsOurHeart https://t.co/es52uFb6Oy
1343182617177309184,So I’ve reached this phase. 🥹😂 #srchafreen #Beckysangels #ฟรีนเบค https://t.co/PB2n720KA3
1599077585727668224,@ukhomeoffice @SuellaBraverman Unnecessary? I'm sure they risk their lives on those boats and their childrens lives just for shits and giggles.
1599077585727668224,@ask_aubry Gives major predatory vibes
1599077585727668224,This piece of shit should never see the light of day. He should rot in a cell and I hope it's a long life in solitary. He took someone we all loved very much. Life should mean life and I'm glad he isn't Just getting to walk out
1599077585727668224,@adamfare1996 I relate to that so much . I currently can't eat but I have always been either full binge or the polar opposite.
1599077585727668224,I put a tens machine on points to try prevent it. I ate slowly and carefully. Yet I still couldn't stop this. I'm so tired of this today I just want answers. I've tried everything and I'm just sat waiting for someone to help me.
1599077585727668224,"Tw- food issues
I was 'ok' this morning. I made soup. Leek, fennel and cauliflower trying to eat something. Within 20 of eating mins I wasnt ok anymore. From vomitting, nausea, pain, shivering and then a migraine. I tried to do everything, I took the meds before, ate gentle foods"
1599077585727668224,@Conservatives Not illegal if seeking asylum though.
1599077585727668224,@LannyBrown78 Oh shut up you Muppet
1599077585727668224,@adamfare1996 Being undiagnosed with ADHD causes trauma
1599077585727668224,@ask_aubry I can get the same from chocolate 🤷🏻‍♀️
1599077585727668224,@ScotNational Would rather 💩 in my ✋ and 👏
1599077585727668224,"@WokeyMcWokefac3 Now if you want to wear drag around kids this is how you do it , don't make them happy call them sinners instead"
1599077585727668224,@freespirit2474 @BBCNews Half of them have watched a bit of EastEnders and think they're all the same 😂
1599077585727668224,@ask_aubry How could so much be so wrong when they could just Google it
1599077585727668224,@BBCNews How many men can mansplain childbirth...
1599077585727668224,"@BlueMTBandit @BBCNews Not necessarily. My first was , my second wasn't and was actually a really positive experience and my 3rd was a c section which was scary but healing was the worst bit."
1599077585727668224,@ilex_hedera @MarkLRuffalo Because it is a stimulant. Although is a considerably lower dose it relaxes us I'd guess that's why we end up drinking gallons of it but don't get that 'buzz' I'd ask him myself but he blocked me 😂 oops
1599077585727668224,"Uh oh , blocked by the misinformation spreader . 
Remember your experience is valid , your #adhd is real and no one has the right to take that away . https://t.co/NBtsnAthDs"
1599077585727668224,"For those struggling with pain #lidls currently have #tensmachine. £25 and a replacement as mine has gone missing. Nothing fancy but has lots of setting, 4 pads and really does help with my pain. (Everyone is different and some conditions make them not safe) 
#chronicpain #pain https://t.co/OXyo9WsA9o"
1599077585727668224,@BBCNews You can't keep someone inside incase he doesn't cope with the outside world if the reason he might not is because he was kept inside far longer than he should have been. Doesn't mean what he did wasn't wrong but there are people who do considerably worse and get 1/4 inside
1599077585727668224,@ask_aubry Late 20s ? As if you get past 25 and you're some withered spinster with less value because you're not the little virgin. Screams red flag to me
1599077585727668224,@TruthAutistic 32 at my adhd assessment
1599077585727668224,"@forestvanslyke It doesn't make sense , I knew from a very young age I was female although often 'boyish' felt female and liked boys (unless pink is asking 🤨) so why is it any different for trans or queer kids ?"
1599077585727668224,@ilex_hedera @MarkLRuffalo Yep plus those amphetamines getting us all hyped up not at all proven to have the opposite effect in people with ADHD if only we weren't all hooked on baby meth 🙄
1599077585727668224,@ilex_hedera @MarkLRuffalo We are all apparently emotionally charged from having our experiences invalidated by someone who is not qualified to lick a stamp let alone spread misinformation and hopped up on all those amphetamines 🤷🏻‍♀️
1599077585727668224,"@RawlsResist @MarkLRuffalo Feel free to pay for the thousands of people who can't afford the  assessments to give them access to support and management then because that is what stands in the way for formal Diagnosis, money. Along with gender , ethnicity, sexually etc"
1599077585727668224,@MarkLRuffalo But they did invalidate us and who we are didn't they.
1599077585727668224,@forestvanslyke @MarkLRuffalo Wonder if he wants to work out why most of us take our meds then have a nap ?
1599077585727668224,"@OKrystia @tylerblack32 @MarkLRuffalo Childhood ADHD doesn't resolve, children are moulded and taught to hide it and mask . People diagnosed as adults (like myself) were just undiagnosed as children. Not hard to understand when the assessments are based on young males"
1599077585727668224,"@MarkLRuffalo No, what it tells you is many people who have struggled with managing being neurodivergent are passionate when it comes to people making out it's a mental health issue. Would you say the same about autism ?"
1599077585727668224,"@MarkLRuffalo Please , feel free to provide your sources and evidence. As a person who has ADHD and is medicated I disagree."
1599077585727668224,@Downforcer1 @Cobratate https://t.co/rQi2J7XMIe
1599077585727668224,"I struggle to 'read' people. 
I know when something is off or different but I can't tell the difference between someone being tired or needing quiet and someone being angry at me. 
I am very blunt and say what's on my mind #neurotypical people confuse me. 
#adhd #audhd #autistic"
1599077585727668224,@Cobratate But you're not are you ? The most influential. Thankfully with you banged up our boys can be educated that your behaviour towards women isn't acceptable but rape and trafficking has a big impact doesn't it
1599077585727668224,"@forestvanslyke It's hard to unlearn it but hopefully many will. My mum is the ""im not homophobic but my granddaughter (my daughter) isn't gay it's just a phase"" type. You're clearly doing your best to be a good person. That's what's matters"
1599077585727668224,@forestvanslyke No one starts out as hateful to a specific group of people. Most learn in from the people they're around . Their mum's are quite possibly just as bad .
1599077585727668224,"@ask_aubry Oh well look at that , fully informed. How did I survive my periods before that"
1599077585727668224,#POTATO #couchpotato #iloveallpotatoes https://t.co/V6la2NZPl9
1599077585727668224,@forestvanslyke I do
1599077585727668224,@NickAdamsinUSA Erm ...no
1599077585727668224,@JeremyVineOn5 If you want to increase the obvious lack of mental health and support/ treatment for eating disorders bash on.
1599077585727668224,"@WokeyMcWokefac3 I bet the dog is called Boris, both eat out of her hand"
1599077585727668224,@forestvanslyke I do have a constant one with multiple 'conversations' at once. My partner though has none
1599077585727668224,"@ask_aubry My ex husband's status did change, he became and abusive prick"
1599077585727668224,@boarderline94 Yes there will always be the odd good thing but to force the 'superpower' analogy on people who do not see it as that and are struggling is just toxic positivity. Everyone's struggles are their own and no one should think it's ok to not accept that
1599077585727668224,"3.40 am and awake, in pain and frustrated. Little one unsettled too. I swear babies can sense it ."
1599077585727668224,@mermhart Some people are just bad people
1599077585727668224,"@NeuroRebel Team bonding , forced 'fun' , the big light , the British education system"
1599077585727668224,"Why does my #bread puff up then sink when I take it out the #breadmachine 
I was definitely cooked well, nice and soft and airy but drops. Any #bakers out there. I can't make it by hand anymore but my little one likes it homemade . https://t.co/5pAU4WYohy"
1599077585727668224,@Downforcer1 @thetimes I'm very much each to their own ☺️
1599077585727668224,"@republicanhick So what you're saying is... Risk kids staying in care longer over them having a loving parent / parents ? 
Gender rolls are outdated and I know many incredible same sex couples with children and incredible single parents raising happy well adjusted children"
